date,open,close
2023-03-03,295.39,299.68
2023-03-06,300.94,300.02
2023-03-07,300.07,296.34
2023-03-08,296.77,297.82
2023-03-09,298.33,292.66
2023-03-10,292.83,288.55
2023-03-13,286.73,290.69
2023-03-14,294.31,297.37
2023-03-15,294.71,298.93
2023-03-16,298.0,306.81
2023-03-17,306.72,305.36
2023-03-20,304.26,305.97
2023-03-21,307.94,310.34
2023-03-22,310.27,306.12
2023-03-23,309.92,309.75
2023-03-24,309.32,310.89
2023-03-27,311.6,308.76
2023-03-28,308.17,307.12
2023-03-29,310.88,312.72
2023-03-30,315.24,315.68
2023-03-31,315.91,320.93
2023-04-03,318.77,320.15
2023-04-04,320.6,319.07
2023-04-05,318.1,315.92
2023-04-06,314.24,318.05
2023-04-10,315.07,317.87
2023-04-11,317.83,315.83
2023-04-12,317.82,313.04
2023-04-13,314.83,319.17
2023-04-14,317.59,318.57
2023-04-17,318.15,318.84
2023-04-18,320.99,318.86
2023-04-19,316.41,318.71
2023-04-20,315.69,316.28
2023-04-21,315.91,316.61
2023-04-24,316.38,315.95
2023-04-25,314.29,309.99
2023-04-26,313.44,311.87
2023-04-27,315.7,320.35
2023-04-28,320.11,322.56
2023-05-01,322.09,322.19
2023-05-02,322.12,319.38
2023-05-03,319.75,317.29
2023-05-04,317.06,316.17
2023-05-05,318.47,322.89
2023-05-08,322.42,323.69
2023-05-09,322.0,321.64
2023-05-10,324.12,325.14
2023-05-11,325.7,326.2
2023-05-12,326.74,325.03
2023-05-15,325.51,326.79
2023-05-16,326.06,327.16
2023-05-17,328.24,331.12
2023-05-18,331.52,337.27
2023-05-19,337.49,336.51
2023-05-22,336.25,337.64
2023-05-23,335.89,333.36
2023-05-24,331.37,331.65
2023-05-25,339.14,339.72
2023-05-26,340.76,348.4
2023-05-30,352.71,349.98
2023-05-31,348.37,347.99
2023-06-01,347.73,352.01
2023-06-02,353.8,354.65
2023-06-05,354.43,354.9
2023-06-06,354.28,354.84
2023-06-07,355.13,348.82
2023-06-08,349.12,353.15
2023-06-09,354.63,354.5
2023-06-12,356.19,360.49
2023-06-13,363.29,363.26
2023-06-14,363.27,365.9
2023-06-15,364.61,370.26
2023-06-16,372.72,367.93
2023-06-20,365.95,366.9
2023-06-21,365.74,361.9
2023-06-22,360.63,366.17
2023-06-23,362.21,362.54
2023-06-26,362.0,357.68
2023-06-27,359.25,363.83
2023-06-28,361.98,364.54
2023-06-29,364.24,363.81
2023-06-30,367.55,369.42
2023-07-03,370.07,370.29
2023-07-05,368.7,370.28
2023-07-06,366.51,367.46
2023-07-07,367.23,366.24
2023-07-10,365.96,366.36
2023-07-11,366.79,368.17
2023-07-12,372.34,372.82
2023-07-13,376.05,379.15
2023-07-14,379.59,379.07
2023-07-17,379.8,382.61
2023-07-18,381.96,385.74
2023-07-19,386.82,385.65
2023-07-20,382.61,376.76
2023-07-21,379.18,375.63
2023-07-24,376.62,376.23
2023-07-25,376.95,378.78
2023-07-26,377.72,377.52
2023-07-27,383.07,376.62
2023-07-28,380.74,383.48
2023-07-31,383.79,383.68
2023-08-01,382.31,382.79
2023-08-02,379.26,374.39
2023-08-03,371.94,373.79
2023-08-04,375.75,372.04
2023-08-07,373.88,375.19
2023-08-08,372.64,372.0
2023-08-09,372.29,367.91
2023-08-10,370.97,368.59
2023-08-11,365.99,366.24
2023-08-14,365.43,370.35
2023-08-15,369.36,366.42
2023-08-16,365.87,362.54
2023-08-17,363.96,358.58
2023-08-18,355.26,358.13
2023-08-21,359.62,363.9
2023-08-22,366.55,363.38
2023-08-23,364.58,369.11
2023-08-24,372.64,361.22
2023-08-25,362.07,364.02
2023-08-28,366.99,366.76
2023-08-29,366.56,374.77
2023-08-30,374.88,376.86
2023-08-31,376.94,377.99
2023-09-01,380.4,377.59
2023-09-05,376.77,378.07
2023-09-06,377.28,374.74
2023-09-07,370.21,372.06
2023-09-08,372.01,372.58
2023-09-11,375.66,376.97
2023-09-12,375.27,372.79
2023-09-13,373.03,374.21
2023-09-14,375.99,377.27
2023-09-15,375.91,370.81
2023-09-18,369.32,370.66
2023-09-19,369.32,369.87
2023-09-20,370.95,364.54
2023-09-21,360.8,357.86
2023-09-22,359.63,357.91
2023-09-25,356.93,359.61
2023-09-26,356.99,354.21
2023-09-27,355.38,355.04
2023-09-28,354.11,358.01
2023-09-29,361.54,358.27
2023-10-02,358.54,361.26
2023-10-03,358.78,354.92
2023-10-04,355.77,359.75
2023-10-05,359.74,358.69
2023-10-06,355.65,364.7
2023-10-09,362.3,366.56
2023-10-10,366.9,368.59
2023-10-11,369.94,371.22
2023-10-12,371.73,369.93
2023-10-13,370.57,365.28
2023-10-16,366.62,369.41
2023-10-17,365.81,368.2
2023-10-18,365.67,363.37
2023-10-19,364.81,359.97
2023-10-20,359.46,354.6
2023-10-23,353.26,355.67
2023-10-24,357.51,359.13
2023-10-25,356.7,350.34
2023-10-26,349.12,343.66
2023-10-27,346.43,345.31
2023-10-30,347.83,349.2
2023-10-31,349.23,350.87
2023-11-01,351.72,356.96
2023-11-02,361.54,363.44
2023-11-03,364.75,367.71
2023-11-06,368.49,369.21
2023-11-07,370.27,372.7
2023-11-08,373.08,372.94
2023-11-09,373.64,370.07
2023-11-10,371.82,378.39
2023-11-13,376.79,377.21
2023-11-14,383.71,385.33
2023-11-15,387.25,385.62
2023-11-16,384.84,385.95
2023-11-17,385.21,386.04
2023-11-20,386.05,390.74
